seq,year,month,ym,origin_ym,q,q_prev,q_prev2,calendar_p,global_p,component_crossed,bic_advantage_2,log_rv_1,log_rv_3,log_rv_12,log_range_var_1,jump_share_1,semivar_imbalance_1,p_global,p_calendar,p_calendar_calibrated,p_persistence,p_markov,p_seasonal_markov,p_logistic,p_cyclic,p_month_pool,p_multiscale,p_cyclic_multiscale,p_month_pool_multiscale,seasonal_strength,logistic_penalty,cyclic_penalty,month_pool_penalty,multiscale_penalty,cyclic_multiscale_penalty,month_pool_multiscale_penalty
127,2018,2,2018-02,2018-01,2.9783973497247113e-7,0.9892066585333122,4.589729111572487e-6,0.783964685238638,0.5304069775480755,false,35.2887234578443,-7.108900495007386,-7.214453621186026,-7.107569348238813,-6.954318603111931,0.19533234145908565,0.40089400895494304,0.5304069775480755,0.783964685238638,0.6634141530979676,0.9892066585333122,0.521462675063726,0.7053793412221979,0.7270401073661156,0.6253813874827086,0.8143308534173369,0.5280469548158305,0.7518234418566132,0.9057051831969487,2.0,0.01,1.0,1.0,100.0,1.0,0.1
128,2018,3,2018-03,2018-02,0.0016183356501462784,2.9783973497247113e-7,0.9892066585333122,0.2064757158690719,0.5238587469343923,false,36.34108782932424,-6.902341858394261,-7.124587757328641,-7.070305076123609,-6.711649533794823,0.24573738768455103,0.24549434822813118,0.5238587469343923,0.2064757158690719,0.3614358907413663,1e-6,0.5270460273944801,0.4924801481548215,0.4880709730065081,0.3771144375455586,0.27698522586413427,0.49861781050621173,0.411827089125959,0.2823391553953986,12.0,100.0,10.0,10.0,100.0,10.0,10.0
129,2018,4,2018-04,2018-03,5.420665080810257e-6,0.0016183356501462784,2.9783973497247113e-7,0.09530265349486508,0.5174899614309258,false,36.666196386432716,-6.90764705516609,-6.968450529892655,-7.067226192174406,-6.935014078135797,0.2503313688197517,0.207058381243529,0.5174899614309258,0.09530265349486508,0.25557740395548595,0.0016183356501462784,0.5135899754402096,0.167841995289017,0.36712887951054884,0.171044157015885,0.19537493343673643,0.4938581658119669,0.267206737507573,0.19750629188024446,2.0,10.0,1.0,10.0,100.0,10.0,10.0
130,2018,5,2018-05,2018-04,0.00028497915832848133,5.420665080810257e-6,0.0016183356501462784,0.48173041782741327,0.5112552079277229,false,37.386059264188475,-7.061726618850699,-6.9545559015362075,-7.044272336261761,-7.015145270988774,0.21342193542720864,0.08978801537973938,0.5112552079277229,0.48173041782741327,0.4848942102509014,5.420665080810257e-6,0.5007988903284993,0.48265958006941206,0.5296545566738681,0.2729240891134936,0.4857778474544879,0.48107759430741803,0.3505230097542821,0.4542411892004622,6.0,10.0,1.0,10.0,100.0,10.0,10.0
131,2018,6,2018-06,2018-05,0.9909886438827819,0.00028497915832848133,5.420665080810257e-6,0.6357324604082921,0.5051722290138015,false,37.84954586143988,-7.437473944801246,-7.111841820676797,-7.106858072802967,-7.317523681553459,0.5204665116115705,0.4354754689739322,0.5051722290138015,0.6357324604082921,0.5597385857554057,0.00028497915832848133,0.4886167355506531,0.5357976156774674,0.5098371018862807,0.6032000551689953,0.6069193995645547,0.458730560335322,0.4965790329151123,0.5442903330066168,6.0,100.0,1.0,10.0,100.0,10.0,10.0
132,2018,7,2018-07,2018-06,0.9798871207037724,0.9909886438827819,0.00028497915832848133,0.6649328245455496,0.5108877162475542,false,33.210676671758165,-7.621941847903443,-7.345920569502765,-7.126130818878451,-7.516524421849275,0.624537002461089,0.8232754482477564,0.5108877162475542,0.6649328245455496,0.5832549706402134,0.9909886438827819,0.5092910247971029,0.5855830460000827,0.5917252979412942,0.8271003403063861,0.5943743493281353,0.48627178099023277,0.6846455799231252,0.5436349324356361,6.0,10.0,1.0,10.0,100.0,10.0,10.0
133,2018,8,2018-08,2018-07,0.0009726487927005378,0.9798871207037724,0.9909886438827819,0.792578879993859,0.5163411976947195,false,33.44438028929619,-7.36796766676689,-7.470160572505823,-7.146154187020236,-7.109295398339216,0.18371789146085837,0.3854924605058437,0.5163411976947195,0.792578879993859,0.6732896130478352,0.9798871207037724,0.5195968484747078,0.649001261169278,0.5986589701645931,0.7911978966891334,0.7293199214676312,0.4779748687245226,0.6242555277731685,0.6586518663255069,6.0,10.0,1.0,10.0,100.0,10.0,10.0
134,2018,9,2018-09,2018-08,2.9533409881193214e-7,0.0009726487927005378,0.9798871207037724,0.6298033757359184,0.5104174212705584,false,33.76744776821852,-6.663067764322141,-7.131748391819773,-7.108203076261335,-6.835733872407397,0.23407115190201777,0.21137629632912766,0.5104174212705584,0.6298033757359184,0.556171717034412,0.0009726487927005378,0.5004220946441165,0.519031155232406,0.49859872459372556,0.5038778054453913,0.5316593052259452,0.46408915681457236,0.4392161495903316,0.4940087271075054,24.0,100.0,100.0,100.0,100.0,10.0,100.0
135,2018,10,2018-10,2018-09,0.826924164667199,2.9533409881193214e-7,0.0009726487927005378,0.23633380745472282,0.5046172266576442,false,35.40631835995623,-7.559111948789408,-7.118595768592351,-7.17751532539109,-7.269039566353006,0.1814791250648998,0.20506834811060345,0.5046172266576442,0.23633380745472282,0.3490710796849771,1e-6,0.4888131444192763,0.445861516281999,0.4757661798153584,0.46402101244642796,0.4420471069721152,0.4532362966397682,0.34902404997531017,0.4012210357310093,24.0,100.0,100.0,100.0,10.0,10.0,100.0
136,2018,11,2018-11,2018-10,1.4206758994435422e-6,0.826924164667199,2.9533409881193214e-7,0.543054481373543,0.5082386529274144,false,36.36486906771279,-6.722919520176105,-6.907228421397645,-7.112164796110038,-6.8143464158768365,0.4966698033826999,0.47562703495127634,0.5082386529274144,0.543054481373543,0.5104812760028195,0.826924164667199,0.5065432057130708,0.4933306347348081,0.5191456016527299,0.48653489087971563,0.5115197085977321,0.5107435999520565,0.4910646023282523,0.5176057602360595,24.0,100.0,100.0,100.0,100.0,100.0,100.0
137,2018,12,2018-12,2018-11,0.9999986023107972,1.4206758994435422e-6,0.826924164667199,0.4273340414401637,0.5025915725690643,false,37.20998861172188,-7.343649975098596,-7.143036919568824,-7.127739610238597,-7.220676871574072,0.3537565693030089,0.17735523375984114,0.5025915725690643,0.4273340414401637,0.4535067494819325,1.4206758994435422e-6,0.49454000312950774,0.5051414284308352,0.47984004980038997,0.5808502209695179,0.48144868846188527,0.4537402219465099,0.525071574496248,0.44105112892687276,24.0,100.0,10.0,100.0,100.0,10.0,100.0
138,2019,1,2019-01,2018-12,0.0010584633406881291,0.9999986023107972,1.4206758994435422e-6,0.7697271737035032,0.5080575838849074,false,39.53221741219443,-7.357947825538099,-7.095205143280434,-7.123022724758639,-7.367109107961493,0.2800912521007776,0.7795747400587637,0.5080575838849074,0.7697271737035032,0.6182805530019884,0.9999986023107972,0.49945212632013475,0.5184023845047625,0.5304835836430221,0.6625191587149292,0.561763605930613,0.4841405226528948,0.5573314152934755,0.5387866544817129,24.0,100.0,10.0,100.0,100.0,10.0,100.0
